empresa,email
AKER SOLUTIONS,candidaturas@akersolutions.com
AFC MERCY,job@afcmercy.com
CEGELEC,rh.angola@actemium.com
PWSIX,recrutamento@pwsix.com
PWSIX,recruitment@pwsix.com
SONAMER PERFURAÇÕES,recrutament.angola@valaris.com
ALAHER - PRESTAÇÃO DE SERVIÇOS E COMÉRCIO GERAL,alaher2017@gmail.com
PS ANGOLA SHIPPING LIMITADA,job@allenergies.com
"ETU ENERGIAS, S.A",recrutamento@etuenergias.co.ao
HALLIBURTON,angola.experiencejobs@halliburton.com
SPIE Oil & Gas SERVICES,recruit.angola@spie.com
EXXMOBIL,recrutamento@hrdangola.com
"A.N.S. SERVICES, LDA",rh@ansservicos.com
EPALMO ANGOLA,Epalmo.angola@grupoepalmo.com
SAIPEM ANGOLA,Angola.RECRUITMENT@saipem.com
"OCEANEERING ANGOLA, S.A",recrutamentoangola-oii@oceaneering.com
ESPACIE,luandaoffice@espacieservice.co.ao
ESPACIE,rh@espacieservice.co.ao
ESPACIE,recrutamento@espacieservice.co.ao
PETRO WORK SOLUTIONS,rh.civica@petrowork-solutions.com
MMO SERVICES,recruitment.angola@grupo-mmo.com
ANGOIL BUMIARMADA,angoilbumi.recruitment@bumiarmada.com
ANGOIL BUMIARMADA,career.angola@bumiarmada.com
TEST ANGOLA,testangolacareers@testangola.com
SIMPLES OIL & GÁS,recrutamentogs@simplesoil.com
OCTOMAR,ops@octomar.snet.co.ao
GEOLOG ANGOLA,recruiting_angola@geolog.com
PCA PRIME,recruitment@pca-international.com
